HTS Number,Indent,Description,Unit of Quantity,General Rate of Duty,Special Rate of Duty,Column 2 Rate of Duty,Quota Quantity,Additional Duties
"4107.91.80.00","5","Fancy","[""m<sup>2<\/sup>""]","2.4%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","30%","",""
"4107.92","2","Grain splits:","","","","","",""
"4107.92.40.00","3","Buffalo","[""m<sup>2<\/sup>""]","2.5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"","3","Other:","","","","","",""
"4107.92.50.00","4","Upholstery leather","[""m<sup>2<\/sup>""]","2.8%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","20%","",""
"4107.92.60","4","Upper leather; sole leather","","3.3%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.92.60.10","5","Upper leather","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.60.50","5","Sole leather","[""m<sup>2<\/sup>""]","","","","",""
"","4","Other:","","","","","",""
"4107.92.70","5","Not fancy","","5%","Free (A,AU,BH,CL,CO,D,E,IL,JO,KR,MA,OM,P,PA,PE,S,SG)","25%","",""
"4107.92.70.30","6","Belting","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.70.40","6","Glove and garment","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.70.50","6","Bag, case, strap and collar","[""m<sup>2<\/sup>""]","","","","",""
"4107.92.70.90","6","Other","[""m<sup>2<\/sup>""]","","","","",""
